Cell,Group,Cell Capacitance,Membrane Potential,Event Frequency,Spike Frequency,Burst Frequency,Event Duration,Spike Duration,Burst Duration,Burst Factor,Active Time,Event Amplitude,Days in Culture
12725000,Male-Base,6.45,-46.5333333333333,0.299292889372515,0.299292889372515,0,7.2875,7.2875,NA,0,0.21810969313022,85.8675173777778,2
15903001,Male-Base,3.81,-50.2666666666667,0.835489450009642,0.821328611873885,0.0141608381357566,23.8013771186441,22.4601293103448,101.59375,0.0169491525423729,1.9885799478328,72.1541568303512,3
15903003,Male-Base,4.54,-53.1,0.165808140735581,0.124356105551686,0.0414520351838953,70.3225446428571,45.4464285714286,144.950892857143,0.25,1.1660050379027,165.095147269112,3
15908001,Male-Base,6.49,-55.6,0.372330978618239,0.359491979355541,0.0128389992626979,29.5896248653017,22.6820417131696,223.001953125,0.0344827586206897,1.10171339830444,90.6918940050848,1
15908003,Male-Base,3.52,-53.8666666666667,1.33702045610348,1.0399047991916,0.297115656911885,72.4594907407408,15.5342261904762,271.697916666667,0.222222222222222,9.68798213592113,75.6857578136303,1
19206002,Male-Base,4.59,-56.1666666666667,0.909515500778868,0.65212964000702,0.371989442539215,50.9937691717791,33.1949678308824,140.646990740741,0.165644171779141,4.63796235048727,37.4326515080739,2
19206003,Male-Base,5.66,-44.5,1.02411908254624,0.758859558932062,0.150655941846806,119.901748178251,39.7108549735916,260.48331404321,0.36322869955157,12.279366834,40.8928414246427,2
19207000,Male-Base,4.40,-61,2.59759887866415,2.39478335060028,0.202815528063867,39.7728978978979,20.191266286645,270.986778846154,0.0780780780780781,10.3314034980803,74.9432508451445,3
19806000,Male-Base,4.25,-46.9666666666667,0.488014257732791,0.400421955062803,0.0875923026699881,58.5900487655248,30.4175573984782,187.378580729167,0.17948717948718,2.85927791588356,31.8795056139302,1
20226003,Male-Base,3.61,-47.6,0.665726221691633,0.665726221691633,0,10.4585336538462,10.4585336538462,NA,0,0.696252009380979,47.6009896596273,2
12725000,Male-CRH,6.45,-38.0666666666667,2.80987869051223,2.38277712955437,0.42710156095786,60.561625,35.8338738207547,198.516447368421,0.152,17.0170819550293,40.27612568,2
15903001,Male-CRH,3.81,-52.0333333333333,0.619040476661167,0.0169600130592101,0.602080463601957,337.697773972603,73.6875,345.134683098592,0.972602739726027,20.9048590967415,67.5366216685674,3
15903003,Male-CRH,4.54,-53.4333333333333,0.56813657658976,0.0516487796899782,0.516487796899782,455.941287878788,71.8541666666667,494.35,0.909090909090909,25.9036922421381,155.974972811612,3
15908001,Male-CRH,6.49,-54.7,0.591749069528712,0.0865974248090797,0.505151644719632,447.780487804878,31.3958333333333,519.160714285714,0.853658536585366,26.4973687011649,83.8167374773723,1
